trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00845426	0.01529
0.0039	-0.03	0.0114	-0.0005515240436302081	1.7453292519943294e-06	-0.0001361356816555577	1.05237508	54.81305313	1.04319832	0.079770252726888	0.0077278	0.00353
0.0062	-0.0214	-0.0057	-0.0007749261878854823	4.18879020478639e-05	-0.00019198621771937622	1.0289427	53.59257507	1.02179988	0.04396976265574812	0.00841862	0.00264
0.0049	0.0006	0.0181	-0.0006981317007977319	-5.061454830783555e-05	-0.00039968039870670147	1.00426912	52.30744934	1.00789982	0.06594955592153876	0.00763965	0.00166
0.0044	-0.0168	0.026	-0.0005916666164260777	-4.71238898038469e-05	-0.0005445427266222308	0.98485851	51.29644775	0.99753674	0.03854090353955861	0.00756633	0.00141
0.0029	0.028	0.0788	-0.0007679448708775049	-0.0002740166925631097	-0.0007504915783575615	1.02766764	53.52616882	1.0210342	0.12955599544730104	0.0065307	0.00109
0.0056	-0.0114	0.0718	-0.0012618730491919003	-0.0001361356816555577	-0.0007714355293814937	1.00027037	52.09917831	1.00006214	0.08173765701229399	0.00651675	0.00089
0.0056	0.0331	0.0924	-0.0010768681484805013	-6.45771823237902e-05	-0.0007627088831215222	0.99219835	51.67874527	0.99227279	0.07836450231515689	0.0056991	0.00092
0.0056	0.0026	0.0877	-0.001158898623324235	-3.4906585039886588e-06	-0.0007225663103256524	0.96033043	50.01890182	0.97433253	0.04436297857297024	0.00575137	0.00085
0.0041	-0.0153	0.0812	-0.0013020156219877698	3.839724354387525e-05	-0.000645771823237902	0.96303737	50.15989304	0.97444161	0.03898996938995746	0.00581133	0.00092
0.0015	-0.03	0.0784	-0.0013421581947836393	3.665191429188092e-05	-0.0007120943348136865	0.95885503	49.94205475	0.97359698	0.02551052068118241	0.00602525	0.00083
0.0201	-0.0727	0.0551	-0.0013927727430914749	0.00010297442586766544	-0.0006073745796940267	0.9935295	51.74807739	0.99431217	0.095682840750164	0.00680429	0.00129
0.0335	0.0277	0.0877	-0.0007871434926494425	-0.00041713369122664475	-0.00045902159327450867	1.02580309	53.42905045	1.02217392	0.21010451769779304	0.00623471	0.00117
0.0304	0.0322	0.0821	-0.0007888888219014368	-0.0003647738136668148	-0.0005218534463463045	0.99288481	51.71450043	0.99793988	0.019046852994181004	0.00614911	0.00094
0.0312	0.0334	0.0827	-0.0008709192967451704	-0.0001832595714594046	-0.000460766922526503	0.97114193	50.58201981	0.98548184	0.01883156204354725	0.00620508	0.00094
0.0136	0.018	0.0794	-0.00028274333882308137	0.000291469985083053	-0.0009093165402890458	1.03813887	54.07156372	1.02625751	0.11187275661135448	0.00656277	0.00119
-0.0047	0.037	0.0561	5.759586531581287e-05	0.0008080874436733745	-0.001291543646475804	1.04325342	54.33795547	1.02471666	0.12255918844579868	0.00661868	0.001
-0.0059	0.0628	0.0782	-0.0004049163864626844	0.0007696902001294993	-0.0011501719770642632	1.01577902	52.90694809	1.00825892	0.08121405823669568	0.00615311	0.001
-0.0083	0.011	0.0152	-0.00013264502315156904	0.000577703982410123	-0.0014137166941154068	1.05718851	55.06376266	1.02839398	0.15359011490408178	0.00795299	0.00166
-0.0118	0.0932	0.0093	0.0001064650843716541	0.00017802358370342162	-0.0010611601852125523	1.05110276	54.74678802	1.02754082	0.14116735075663897	0.00761503	0.00124
-0.0105	0.0257	-0.0343	-0.00039269908169872416	0.00023911010752322313	-0.0012130038301360591	1.01214504	52.71767044	1.00955881	0.14800471674068433	0.00823277	0.00164
-0.0123	0.0837	0.0457	0.0001239183768915974	0.00030194196059501896	-0.0010681415022205296	1.05440307	54.9186821	1.03584502	0.17601558197888234	0.00664973	0.0012
-0.0185	0.0342	0.0529	-0.0003089232776029963	0.0009442231253289323	-0.001281071670963838	1.02812684	53.55008316	1.01889608	0.12730264939859076	0.0065887	0.00115
-0.0207	0.0399	0.0563	-0.00032637657012293966	0.0009564404300928925	-0.0012793263417118436	0.98553902	51.33189392	0.99321297	0.012870796326794892	0.00679636	0.00118
-0.0234	0.0138	0.0173	-0.0007295476273336296	0.0008779006137531476	-0.0015393804002589986	1.02121377	53.1900177	1.01270166	0.10488824660487948	0.00807625	0.0017
-0.0235	0.0598	-0.0056	-0.0006771877497737998	0.0008482300164692441	-0.001635373509118687	1.06177521	55.3026619	1.03050595	0.07790117918517107	0.00893515	0.00234
-0.0254	0.1296	0.0758	-0.00045902159327450867	0.0007330382858376184	-0.0016126842288427606	1.12602842	58.64929581	1.06265305	0.17090235837034215	0.0061146	0.00098
-0.0309	0.0463	0.0365	-0.0006527531402458793	0.0005881759579220891	-0.0019250981649497454	1.01684725	52.96258545	1.01274317	0.16065039054969424	0.00696045	0.00115
-0.0128	0.1151	0.0917	0.0003298672286269283	7.330382858376184e-05	-0.0015254177662430443	1.08399141	56.45979691	1.04428211	0.23695864484589177	0.0065068	0.00127
-0.0213	0.0673	0.0659	8.901179185171081e-05	-2.96705972839036e-05	-0.0016004669240788003	1.04723632	54.54540253	1.02300985	0.10304395102393193	0.00628048	0.00075
-0.0177	0.1014	0.0831	0.0004468042885105483	-0.00011693705988362007	-0.0014451326206513049	1.06863225	55.65980911	1.03785674	0.08491966313430246	0.00636876	0.00127
-0.0017	0.15	0.1296	-0.0002530727415391778	0.0002705260340591211	-0.0010402162341886204	1.10442376	57.52401733	1.06934482	0.1857128255227576	0.00590837	0.00106
-0.0187	0.0716	0.1118	-0.000609119908946021	0.000635299847725936	-0.0012740903539558604	1.11205781	57.92163849	1.07868836	0.1609347550420449	0.00651115	0.00219
-0.0088	0.0086	0.1061	-0.0008848819307611251	0.0005672320068981572	-0.001387536755335492	1.10024762	57.30649948	1.06361993	0.10146381320112571	0.00585765	0.00099
-0.011	0.0885	0.1492	-0.00029321531433504735	0.00046425758103049166	-0.001420698011123384	1.02218437	53.24057007	1.00599388	0.16159011490408173	0.00550306	0.00078
-0.0099	0.0323	0.1322	-0.0005218534463463045	0.0005131268000863328	-0.001450368608407288	0.99070406	51.600914	0.98570428	0.08965889741755009	0.00552231	0.00071
-0.0097	0.0357	0.0903	-0.0005427973973702365	0.0005462880558742252	-0.0013002702927357754	1.06361532	55.39850235	1.01964046	0.05571017612416685	0.00626117	0.00109
-0.0032	0.1232	0.1508	-0.0008237954069413235	0.000307177948351002	-0.0010733774899765126	1.06847095	55.65141296	1.02986508	0.19185004599267863	0.00560629	0.00068
0.0001	0.0574	0.1575	-0.0012077678423800758	0.00021642082724729686	-0.0009773843811168245	0.98303843	51.20164871	0.98769831	0.10433613327010728	0.00524992	0.00062
0.0023	0.0471	0.1659	-0.0013665928043115599	0.00013788101090755203	-0.0009407324668249436	0.97725892	50.90062332	0.98237142	0.03460083462815548	0.00545597	0.00071
-0.0013	0.0466	0.1748	-0.0013002702927357754	0.00010297442586766544	-0.0009128071987930344	0.97606754	50.83856964	0.98032769	0.01945771823237903	0.00578189	0.00081
-0.003	0.0641	0.1998	-0.0012932889757277981	0.00014486232791552936	-0.0010070549784007281	0.97257459	50.6566391	0.97528574	0.051355849933176746	0.0057351	0.0008
0.001	0.0544	0.2129	-0.0013142329267517303	0.0001186823891356144	-0.0009983283321407565	0.97084153	50.56637192	0.97793628	0.02959252680319095	0.0054301	0.00073
0.0077	-0.0021	0.1622	-0.0014451326206513049	0.00018500490071139895	-0.0010419615634406148	1.02398705	53.33446121	1.00640777	0.12594277183876088	0.00550735	0.00069
0.0082	0.072	0.1862	-0.0011274826967883368	2.96705972839036e-05	-0.0009791297103688187	1.04456353	54.40619278	1.01245751	0.12539080401811295	0.00547773	0.00091
0.0075	0.0529	0.2033	-0.001462585913171248	-4.537856055185256e-05	-0.000890117918517108	1.01187956	52.70384216	0.99700856	0.061858208303518895	0.00525779	0.00071
0.0034	0.0104	0.1528	-0.0016336281798666925	2.094395102393195e-05	-0.0008709192967451704	1.00161576	52.1692543	0.99524258	0.10992817000215833	0.00534236	0.00058
0.0063	0.0988	0.2029	-0.001324704902263696	-2.6179938779914945e-05	-0.0007731808586334879	1.00979817	52.59543228	0.99935548	0.1640892802759263	0.00536096	0.00066
0.0032	0.0291	0.1838	-0.001553343034274953	6.981317007977319e-05	-0.000783652834145454	0.99266219	51.70290375	0.98326359	0.10865516081914559	0.00539505	0.00075
0.0029	0.0744	0.1813	-0.0015062191444711063	7.155849933176751e-05	-0.0007138396640656808	1.00193608	52.18593597	0.99046673	0.05403411945678072	0.00543362	0.00069
0.0032	0.0643	0.2033	-0.001637118838370681	0.0001239183768915974	-0.0006667157742618339	0.98567826	51.33914566	0.9792354	0.043919173063162585	0.00548118	0.00077
0.0008	0.0147	0.1602	-0.0017976891295541592	0.00018675022996339323	-0.0006702064327658224	0.97644091	50.85801697	0.98208314	0.10644464013796312	0.00545919	0.00077
0.0166	0.1008	0.2064	-0.0012793263417118436	-0.000322885911618951	-0.0005078908123303499	1.01269066	52.74608612	1.00256837	0.20761572749300655	0.00565541	0.00077
0.0231	0.0609	0.2131	-0.001165879940332212	-0.0003612831551628262	-0.00041713369122664475	0.97764659	50.92081451	0.97618141	0.06523003830136061	0.00536156	0.00065
0.0124	0.0152	0.1314	-0.0013473941825396225	-0.00013788101090755203	-0.0005026548245743669	1.07428634	55.95430374	1.03514853	0.16262187599052036	0.00573134	0.00083
-0.0007	0.0876	0.1215	-0.0007679448708775049	0.0003577924966588376	-0.0006632251157578452	1.10201752	57.39868546	1.0406859	0.15718465552059926	0.00612074	0.00102
-0.0058	0.1542	0.1816	-0.0005637413483941684	0.0005235987755982988	-0.0007766715171374765	1.10385144	57.49420929	1.03078806	0.1559728101401215	0.00559133	0.00076
-0.02	0.0536	0.1046	-0.0008639379797371932	0.000439822971502571	-0.0010821041362364843	1.09282017	56.91963959	1.03655861	0.226270252726888	0.00630355	0.00117
-0.0181	0.1374	0.1218	-0.0008482300164692441	0.00030194196059501896	-0.001090830782496456	1.14140415	59.45014191	1.07148982	0.11101578102177365	0.0063327	0.0012
-0.0214	0.1199	0.1833	-0.0013683381335635543	1.3962634015954635e-05	-0.0011135200627723821	1.12434375	58.56155014	1.05751036	0.123838836197465	0.00583512	0.00077
-0.0121	0.0117	0.1755	-0.0016545721308906245	3.839724354387525e-05	-0.0010210176124166828	1.04330897	54.34084702	1.01292902	0.14545855286053452	0.0057013	0.00083
-0.0083	0.0537	0.1832	-0.0013980087308474581	3.141592653589793e-05	-0.000932005820564972	1.02872539	53.58126068	1.0077402	0.07112782544514273	0.00554544	0.0008
-0.0055	0.0405	0.228	-0.001452113937659282	6.108652381980153e-05	-0.0008936085770210966	1.01443756	52.83707428	0.99754642	0.06690865238198015	0.00574613	0.00075
-0.0068	0.0219	0.2398	-0.0015219271077390555	7.67944870877505e-05	-0.0009285151620609833	0.9604401	50.02461243	0.96739418	0.037721385919380464	0.00608218	0.00082
-0.0017	0.0227	0.2306	-0.001377064779823526	-0.00016406094968746698	-0.0008761552845011534	0.9746834	50.76647568	0.978065	0.03700388211252886	0.00599748	0.00073
-0.0062	-0.0064	0.1619	-0.0006928957130417488	3.316125578789226e-05	-0.0008813912722571365	1.07092464	55.77921295	1.03001569	0.14663136300065596	0.0058918	0.00098
-0.0152	0.0532	0.0972	-0.00034033920413889426	0.0002722713633111154	-0.0008255407361933179	1.13472939	59.10248566	1.04376214	0.1656758576244948	0.00705785	0.00165
-0.0082	0.2038	0.1685	0.00018500490071139895	0.00023911010752322313	-0.0006963863715457374	1.18068695	61.49618912	1.0846213	0.2632829862642883	0.00622708	0.0009
-0.0309	0.1563	0.169	6.108652381980153e-05	0.0005602506898901797	-0.0010733774899765126	1.0505749	54.71929169	1.02281826	0.11180250388446646	0.00558466	0.00063
-0.0348	0.0888	0.1563	0.00010297442586766544	0.0007487462491055673	-0.0012339477811599909	1.0473187	54.54969406	1.00822396	0.1036476876223365	0.00606531	0.001
-0.0239	0.1746	0.2234	-4.363323129985824e-05	0.0005218534463463045	-0.0010821041362364843	1.11084747	57.85859299	1.04592148	0.19006720524251464	0.00622487	0.001
-0.0258	0.0454	0.2466	-0.0011065387457644049	0.0003577924966588376	-0.0011955505376161158	1.07006335	55.7343483	1.04087953	0.22132064327658224	0.0060423	0.00083
-0.0158	0.0062	0.2394	-0.0009494591130849152	0.0001675516081914556	-0.0012636183784438947	0.98264599	51.18120956	0.98716528	0.07716941809873254	0.00583893	0.00093
