bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	efc_shell04	efc_shell05	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fber_shell04	fber_shell05	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	snr_cc_shell3_best	snr_cc_shell3_worst	snr_cc_shell4_best	snr_cc_shell4_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-001_ses-pilot004_acq-highres_dir-unknown_dwi	4	[0.0, 700.0, 1000.0, 1950.0, 2000.0, 2950.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.2555	0.1516	0.1641	0.0083	3.1948	0.6055	0.5059	0.4801	0.4899	0.0	0.0	-381.75	3364.0	2652.25	930.25	462.25	11.0419	138	93.87755102040816	0.6894	50.4085	18.125	0.3301	5.29	5.16	5.16	3.14	2.0	2.25	1.75	1.83	1.26	52.84	276.89	252.25	339.24	134.0943	2.9652	12.3406	2.0	1511165.0	0.0	56.0	32.6208	6.8113	88.9561	316.09	269.0	343327.0	133.0	676.0	175.6849	18.8936	56.3389	249.6247	239.0	161076.0	120.0	391.0	98.8278
sub-001_ses-pilot004_acq-lowres_dir-unknown_dwi	4	[0.0, 700.0, 1000.0, 1950.0, 2000.0, 2950.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.2462	0.1432	0.1492	0.0181	2.4617	0.625	0.4618	0.4292	0.4373	0.0	0.0	-1.0	14884.0	12769.0	-1.0	-1.0	8.9365	139	94.5578231292517	0.806	40.0303	11.2892	1.3206	6.21	6.22	6.22	3.85	2.31	2.72	1.85	2.1	1.27	46.86	211.01	206.29	320.77	119.7116	0.0	11.9656	0.0	851101.0	0.0	63.0	34.5744	5.9797	91.9213	331.1343	284.0	185699.0	128.0	688.0	177.6626	24.3516	47.4433	256.2099	251.0	58787.0	134.0	372.0	95.3793
sub-001_ses-pilot005_acq-highres_dir-unknown_dwi	4	[0.0, 700.0, 1000.0, 1950.0, 2000.0, 2950.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3724	0.2479	0.281	0.0101	2.0357	0.8672	0.6506	0.5654	0.6028	0.0	0.0	32.0625	158.0408	196.0	81.0	38.0278	8.5158	136	92.51700680272108	0.7392	40.0303	15.1509	1.3206	4.27	4.05	4.05	2.5	1.64	1.82	1.41	1.41	0.95	63.08	318.66	309.02	363.5	925.36	7.413	25.2561	8.0	1510748.0	2.0	98.0	89.398	8.1992	145.295	354.7204	275.0	343744.0	100.0	919.0	271.5369	15.9591	78.5779	220.3265	212.0	151230.0	82.0	378.0	102.4275
sub-001_ses-pilot005_acq-lowres_dir-unknown_dwi	4	[0.0, 700.0, 1000.0, 1950.0, 2000.0, 2950.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3137	0.2066	0.2327	0.0073	2.0717	0.9838	0.7121	0.5006	0.5244	0.0	0.0	53.48	400.0	473.0625	455.1111	186.7778	1.668	140	95.23809523809524	0.8074	26.6868	9.8757	0.8254	6.32	6.19	6.19	4.12	2.25	2.87	1.72	2.09	1.08	58.01	275.57	251.17	368.95	629.3804	5.9304	28.6032	5.0	853236.0	0.0	135.0	96.7399	6.0338	164.5688	392.1723	317.0	183564.0	117.0	945.0	270.307	15.7458	77.0953	236.6147	233.0	52819.0	108.0	381.0	95.9518
sub-001_ses-pilot006_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3754	0.2445	0.2606	0.0073	2.3542	1.0965	0.8628	0.5786	0.5864	0.0	0.0	26.2656	128.3265	160.4444	117.3611	53.7778	8.0082	139	94.5578231292517	0.8239	56.3389	15.6249	1.3206	3.64	3.51	3.51	2.39	1.53	1.67	1.19	1.35	1.12	62.41	368.47	348.65	340.2	591.7147	8.8956	31.3993	9.0	1514951.0	2.0	125.0	112.9284	9.8782	197.1861	450.6701	341.0	339541.0	116.0	1218.0	379.4107	13.8746	103.7822	251.056	241.0	129299.0	93.0	437.0	118.9586
sub-001_ses-pilot006_acq-lowres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3044	0.188	0.22	0.0093	2.4479	1.1817	0.9614	0.5594	0.5399	0.0	0.0	30.25	145.0	225.0	213.16	150.0625	3.2424	138	93.87755102040816	0.7463	31.1346	10.0337	0.9905	5.84	5.84	5.84	4.1	2.3	2.63	1.48	1.87	0.63	58.17	314.94	297.62	350.06	446.2328	7.413	36.0213	7.0	854665.0	1.0	164.0	119.7677	8.5909	219.4251	490.9588	383.0	182135.0	129.0	1264.0	386.1078	9.6981	108.23	279.5707	273.0	51331.0	121.0	465.0	117.5527
sub-001_ses-pilot007_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3589	0.248	0.2752	0.0094	2.1307	0.9894	0.7465	0.5568	0.5856	0.0	0.0	31.5306	186.7778	275.56	144.0	64.0	7.9109	140	99.29078014184397	0.8163	35.5825	15.4228	1.3206	4.46	4.43	4.43	2.82	2.52	2.64	1.48	1.76	1.52	65.39	322.73	303.19	360.33	899.312	7.413	25.1915	8.0	1513243.0	2.0	98.0	99.25	8.1596	167.5341	397.7729	301.0	341249.0	105.0	1068.0	319.7695	43.8785	78.5779	218.3366	210.0	117797.0	82.0	373.0	106.0267
sub-001_ses-pilot008_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.338	0.2416	0.2719	0.0025	2.3011	1.085	0.8324	0.5725	0.5874	0.0	0.0	22.25	133.898	173.3611	110.25	51.3611	6.9965	278	99.28571428571429	0.5782	37.0651	15.0559	1.3206	4.38	4.37	4.37	3.17	1.77	2.57	2.49	1.82	1.45	33.28	186.7	160.83	199.88	772.5892	7.413	27.5124	8.0	1513341.0	2.0	110.0	104.2599	8.3127	183.8427	429.1588	326.0	341151.0	115.0	1148.0	345.4942	16.6577	75.6127	232.0861	224.0	93551.0	106.0	388.0	93.4124
sub-001_ses-pilot008_acq-lowres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3257	0.2293	0.2602	0.0011	2.3451	1.1387	0.8933	0.5428	0.538	0.0	0.0	36.0	219.04	361.0	324.0	144.0	6.7877	276	98.57142857142857	0.7568	38.5477	9.736	0.9905	4.43	4.5	4.5	2.86	2.67	2.73	2.28	1.79	1.05	29.61	147.16	114.91	191.72	564.1562	7.413	31.9125	7.0	853242.0	1.0	150.0	110.5438	6.9925	203.1165	462.4297	366.0	183558.0	129.0	1153.0	338.9023	19.3704	84.5083	268.8563	257.0	47450.0	127.0	455.0	112.593
sub-001_ses-pilot009_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3552	0.2354	0.2626	0.0009	2.3253	1.1114	0.8835	0.5822	0.589	0.0	0.0	31.6406	117.8776	160.4444	113.7778	53.7778	11.0818	279	99.64285714285714	0.5715	42.9955	15.101	1.3206	4.32	4.19	4.19	2.86	2.31	2.49	1.26	1.74	0.78	33.38	208.35	195.69	191.17	525.8228	8.8956	30.8152	9.0	1516913.0	2.0	116.0	110.9021	9.7711	201.6339	456.9709	339.0	337579.0	115.0	1269.0	397.64	11.6921	94.8865	239.9355	232.0	92957.0	104.0	402.0	98.1647
