trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0331743	0.03436
0.0462	-0.0407	0.0189	0.00020943951023931956	0.00028099800957108706	0.00046425758103049166	1.20389438	66.87683868	1.20570191	0.15353475504204492	0.0334322	0.03123
0.0743	-0.0396	0.0526	3.316125578789226e-05	0.0006719517620178169	0.000926769832808989	1.17932844	65.51219177	1.17745754	0.11438721293383274	0.0335436	0.03218
0.0412	-0.0472	0.0799	-0.0006038839211900379	0.0009756390518648303	0.0009232791743050004	1.16301465	64.6059494	1.1643903	0.1152111562664466	0.0339235	0.03391
0.1044	-0.1142	0.078	-9.42477796076938e-05	0.0009250245035569946	0.0011222467090323538	1.20009875	66.66598511	1.20831454	0.17006091123087666	0.0331314	0.03194
0.0155	-0.1343	0.0463	0.0005881759579220891	0.0007958701389094143	0.0010105456369047167	1.19314599	66.27976227	1.19679323	0.18686395871525	0.031788	0.02795
0.0687	-0.1451	0.0203	0.00034906585039886593	0.00047123889803846896	0.0012112585008840647	1.14300263	63.49427414	1.14733505	0.12822271061867582	0.0320007	0.02713
0.0733	-0.1297	0.0359	0.00038571776469074686	0.0004921828490624009	0.001500983156715123	1.14715672	63.72503662	1.14751868	0.05296602605734357	0.032547	0.02772
0.0467	-0.1253	0.0563	0.000307177948351002	0.0008307767239493009	0.0016441001553786586	1.13215601	62.89174271	1.13526197	0.07941253449450902	0.0320051	0.02791
0.084	-0.1313	0.0448	0.0004904375198104066	0.0007086036763096977	0.0015219271077390555	1.12525296	62.50827408	1.13067364	0.07618028333693055	0.0321597	0.0276
0.0485	-0.1311	0.0376	0.00046425758103049166	0.0007871434926494425	0.0014573499254152652	1.12905717	62.71960068	1.13292849	0.05136484687217251	0.0322828	0.029
0.0584	-0.1376	0.0279	0.0003630284844148205	0.000726056968829641	0.0016650441064025902	1.1441474	63.55786514	1.14348658	0.044600490071139885	0.0321859	0.02862
0.0732	-0.1577	0.0272	0.0006597344572538566	0.0008203047484373349	0.0017034413499464657	1.13769865	63.19963455	1.13832109	0.05706754979953029	0.0320528	0.02769
0.0555	-0.1732	0.029	0.0004188790204786391	0.0009424777960769379	0.0018622663118779497	1.14177823	63.42625809	1.13457606	0.061092672317315216	0.0320354	0.02657
0.0863	-0.1706	0.0056	0.0006544984694978735	0.0008848819307611251	0.0017086773377024485	1.14362454	63.52882385	1.14102552	0.07914021442552739	0.0324634	0.02625
0.0008	-0.2268	-0.0125	0.001593485607070823	0.0009930923443847736	0.0011013027580084218	1.20198798	66.77093506	1.20534571	0.24252860654453123	0.030454	0.02167
