trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0124269	0.00231
0.0062	-0.0863	0.0518	0.0004747295565424576	-0.0001186823891356144	8.37758040957278e-05	1.10244346	55.27061081	1.07530411	0.17815938748868995	0.0108368	0.00097
-0.0065	-0.0642	0.0196	0.0005078908123303499	-0.00024260076602721178	0.00010297442586766544	1.04684734	52.48331833	1.03524921	0.07581391272257137	0.0107907	0.00098
-0.0014	-0.1335	0.028	1.7453292519943296e-05	-0.0003385938748868999	0.00043458698374658803	1.04982579	52.63264084	1.04002526	0.12870215932745088	0.0105549	0.00065
-0.0039	-0.1179	0.016	0.0004886921905584122	-0.00015184364492350666	0.0002565634000431664	1.06023228	53.15436935	1.03665276	0.07190063558526419	0.0101283	0.00065
-0.0112	-0.1081	0.0348	0.000726056968829641	-0.0002495820830351891	-1.2217304763960308e-05	1.04475737	52.37854004	1.02738391	0.0660941960595019	0.0101895	0.00073
-0.0171	-0.14	0.0475	0.000752236907609556	-9.948376736367679e-05	-0.00012740903539558605	1.01874745	51.07453918	1.01610884	0.06507349925415265	0.00967962	0.00048
-0.0331	-0.0973	0.0467	0.0010821041362364843	-0.00035430183815484887	-0.0002495820830351891	1.02801847	51.53933716	1.02217998	0.0948429173528852	0.0102282	0.00053
-0.028	-0.1611	0.061	0.0008203047484373349	-0.00022165681500327985	-0.0001239183768915974	1.03548133	51.91348648	1.02619286	0.10920540585471553	0.00969654	0.00035
-0.0182	-0.1298	0.0261	0.0013735741213195373	-6.9813170079773176e-06	0.00021467549799530252	1.08001077	54.14595795	1.0447589	0.13132693728822023	0.00956219	0.0005
-0.0283	-0.1238	0.0692	0.0015847589608108511	-0.00011519173063162575	-5.585053606381854e-05	1.06510389	53.39860535	1.04137662	0.08869606435870415	0.00975049	0.00045
-0.024	-0.1696	0.066	0.00119729586686811	8.203047484373349e-05	-9.599310885968811e-05	1.02618861	51.4475975	1.01837678	0.0845413936106985	0.0093872	0.00028
-0.024	-0.1166	0.0595	0.0014852751934471744	0.00014311699866353502	-0.00024609142453120044	1.02620697	51.44852066	1.01542695	0.08445820830351894	0.00966626	0.00042
-0.0327	-0.1691	0.0755	0.001117010721276371	0.00012217304763960306	-0.0005515240436302081	1.03993106	52.13657379	1.02216683	0.11193205211468717	0.00946254	0.00033
-0.0265	-0.1557	0.0637	0.001048942880448592	0.0002548180707911721	-0.0005637413483941684	1.03377533	51.82795715	1.02205737	0.04204650843716539	0.00941014	0.00027
-0.0278	-0.1293	0.1224	0.0011065387457644049	0.00028274333882308137	-0.000895353906273091	1.06673169	53.48021317	1.04548192	0.10725668456133222	0.010373	0.00042
-0.0298	-0.1625	0.1186	0.0008517206749732328	0.00042411500823462205	-0.0010524335389525807	1.02799821	51.53832626	1.01924083	0.06666346864411013	0.0101585	0.00036
-0.0265	-0.1126	0.1391	0.0011466813185602744	0.0003769911184307752	-0.0010262536001726657	1.03405201	51.84183121	1.02076469	0.09211322360854016	0.0107393	0.00049
-0.0283	-0.1565	0.1496	0.0009791297103688187	0.0003612831551628262	-0.001129228026040331	1.01972985	51.12379456	1.01253441	0.07051169986635351	0.0104709	0.00036
-0.0394	-0.1594	0.1275	0.000973893722612836	0.0005393067388662478	-0.0013753194505715315	1.01547253	50.91035461	1.01055444	0.05756754979953023	0.00988418	0.0003
-0.0389	-0.1436	0.1456	0.0009354964790689606	0.00037350045992678646	-0.001452113937659282	1.02578032	51.42713165	1.01931337	0.048449900478554346	0.0105159	0.00035
-0.0267	-0.1817	0.1299	0.000582939970166106	0.0006161012259539982	-0.0012758356832078548	1.03011262	51.64432907	1.01956309	0.10457177646907467	0.00989401	0.00023
-0.0235	-0.1063	0.1118	0.0012932889757277981	0.0005253441048502931	-0.0013020156219877698	1.03919578	52.09970856	1.02544209	0.1380643032722656	0.0102222	0.00039
-0.0324	-0.1706	0.1227	0.0007627088831215222	0.0006300638599699529	-0.001556833692778942	1.04189682	52.2351265	1.02662456	0.1286058959258554	0.00999039	0.00028
-0.0287	-0.157	0.1066	0.0009232791743050004	0.0007068583470577034	-0.001541125729510993	1.02641988	51.45919418	1.01885783	0.04605363707695888	0.00961757	0.00027
-0.0333	-0.111	0.1169	0.0012339477811599909	0.0005288347633542819	-0.0016231562043547262	1.02724349	51.50048447	1.01846367	0.08943613327010727	0.010096	0.00042
-0.0357	-0.1975	0.125	0.0007993607974134029	0.0007435102613495844	-0.001579522973054868	1.0406574	52.17298889	1.02798538	0.13164478565208745	0.0095005	0.00022
-0.0395	-0.1642	0.0858	0.0007243116395776468	0.0008918632477691023	-0.0017331119472303693	1.04125965	52.20318222	1.0205975	0.09514955592153876	0.00943315	0.00031
-0.0429	-0.088	0.0941	0.001350884841043611	0.0006108652381980154	-0.001726130630222392	1.05430555	52.85723114	1.03603244	0.13362762640225145	0.00992602	0.0004
-0.0484	-0.1602	0.1	0.0008604473212332044	0.0005270894341022875	-0.0017051866791984597	1.04796028	52.53911591	1.03145944	0.11335786374650336	0.00963724	0.00022
-0.0484	-0.1735	0.0691	0.0006824237375297829	0.0007749261878854823	-0.0018448130193580064	1.06818151	53.55290222	1.03571774	0.07247433388230815	0.00952423	0.00033
-0.0486	-0.0975	0.0877	0.0007033676885537148	0.0005340707511102648	-0.0018884462506578647	1.10118008	55.20726776	1.05934739	0.11007163095495036	0.0105457	0.00057
-0.0514	-0.1062	0.0805	0.0005340707511102648	0.0009546951008408983	-0.0022060961745208325	1.08396471	54.34418488	1.06486019	0.06407856055185257	0.0108305	0.00062
-0.0644	-0.2031	0.0868	0.0007278022980816354	0.0010070549784007281	-0.002553416695667704	1.0951556	54.90523529	1.0772595	0.1458705972839036	0.00977588	0.00017
-0.0574	-0.1615	0.0564	0.0007749261878854823	0.0006963863715457374	-0.002309070600388498	1.03761256	52.02033615	1.02835484	0.1091069295969022	0.00980568	0.00028
