trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0115739	0.01114
-0.0039	-0.0138	0.0514	-0.0004520402762665313	-2.094395102393195e-05	-5.061454830783555e-05	1.24822056	37.66591644	1.06062384	0.09527993877991492	0.00619328	0.00204
-0.0102	-0.1473	0.1845	-0.0002897246558310587	-0.00017104226669544429	-0.00021467549799530252	1.11191463	33.5527916	1.05519412	0.29672374428972254	0.00464171	0.00047
-0.0061	-0.0656	0.1935	-2.96705972839036e-05	-0.00015009831567151235	-0.00017104226669544429	1.01448572	30.61280441	0.99870966	0.11103156204354726	0.00558233	0.00055
-0.0006	0.0866	0.0825	-0.00013439035240356338	-0.00012217304763960306	-8.028514559173915e-05	1.04403472	31.50446892	1.02098836	0.27987010721276373	0.00586331	0.00092
-0.0027	0.0191	0.0851	-0.0004485496177625427	-0.000153588974175501	-0.0001675516081914556	1.06355107	32.0933876	1.01602365	0.09384208272472969	0.00552291	0.00059
-0.0125	-0.1299	0.1746	-0.00015009831567151235	-0.00013439035240356338	-0.0002495820830351891	1.06781626	32.22209167	1.01623998	0.2682840199353351	0.00504404	0.00044
-0.01	-0.006	0.0954	0.00034557519189487725	-7.330382858376184e-05	-0.000158824961931484	1.04676867	31.58696556	1.01144821	0.2379758576244948	0.00636739	0.00063
-0.006	0.0051	0.0616	-0.00012740903539558605	5.235987755982988e-06	-0.00010821041362364843	1.01916087	30.75388145	0.99202031	0.07900692959690217	0.0057525	0.0007
-0.0124	-0.1484	0.1705	4.71238898038469e-05	-5.061454830783555e-05	-0.00015009831567151235	1.08102143	32.62056732	1.02399389	0.28241356816555574	0.00416845	0.00026
-0.0125	-0.0297	0.1171	3.665191429188092e-05	-2.96705972839036e-05	-0.00014660765716752367	1.04386187	31.49925232	0.99367046	0.17394532925199432	0.00472653	0.0005
-0.0104	0.0009	0.0616	-0.00018151424220741024	1.9198621771937625e-05	-0.00014486232791552936	1.09003901	32.89267731	1.02104851	0.10163903524035632	0.00515491	0.00057
-0.0152	-0.131	0.1471	-6.9813170079773176e-06	-5.235987755982989e-05	-0.00017104226669544429	1.00820184	30.42318726	0.98482834	0.23581356816555576	0.00420666	0.00031
-0.02	0.0098	0.1016	-2.96705972839036e-05	-5.061454830783555e-05	-0.00019896753472735358	0.98977226	29.86705971	0.97484811	0.19371799387799152	0.00458163	0.00051
-0.0181	0.0265	0.0528	-0.00027750735106709843	-3.839724354387525e-05	-0.00021642082724729686	1.03544605	31.24529839	1.00444299	0.08127536755335492	0.00506288	0.00051
-0.0244	-0.1108	0.1307	-2.6179938779914945e-05	-4.363323129985824e-05	-0.0001884955592153876	1.03230214	31.15042877	1.00357391	0.2357244334037538	0.00418758	0.0003
-0.027	-0.0129	0.1096	-7.330382858376184e-05	-5.585053606381854e-05	-0.0002024581932313422	0.98738289	29.79496002	0.96532124	0.12526519142918813	0.0045175	0.00032
-0.0202	0.0503	0.0371	-0.00042935099599060504	-3.4906585039886588e-06	-0.00023212879051524583	1.06245518	32.06031799	1.00079463	0.16440388211252885	0.00562268	0.0007
-0.0259	-0.1117	0.1285	-0.0002303834612632515	-1.9198621771937625e-05	-0.00020769418098732522	1.05335677	31.78576851	1.00999019	0.2710555053761612	0.00418317	0.00028
-0.0259	-0.0449	0.1289	-0.0001937315469713706	-3.839724354387525e-05	-0.00020420352248333657	0.99248648	29.94896317	0.97310684	0.07016705972839034	0.00422269	0.00041
-0.0195	-0.0042	0.0849	-0.00039968039870670147	-6.108652381980153e-05	-0.00024085543677521747	1.02549005	30.94487	0.98895922	0.10436450231515688	0.00472134	0.00033
